date,fx_USUK,fx_SZUS,fx_JPUS,fx_USAL,fx_USEU,euro_interbank,ch_interbank,us_interbank,australia_interbank,japan_interbank,uk_interbank
2002-01-01,1.4322,1.6709,132.6833,0.517,0.8832,3.3387727272727297,1.60372514285714,1.74,4.26,,4.0467699999999995
2002-02-01,1.4227,1.697,133.6426,0.5128,0.8707,3.3571,1.5666706,1.82,4.31,,4.0526800000000005
2002-03-01,1.423,1.6743,131.061,0.5256,0.8766,3.3908,1.60416375,1.91,4.46,,4.13055
2002-04-01,1.4429,1.6542,130.7718,0.5352,0.886,3.40690476190476,1.46064661904762,1.87,4.59,0.1,4.17319
2002-05-01,1.4598,1.5889,126.375,0.5498,0.917,3.4671363636363597,1.1634938999999995,1.82,4.84,0.08,4.1537
2002-06-01,1.4837,1.5399,123.2905,0.5682,0.9561,3.464,1.14959405,1.81,5.07,0.0899999999999999,4.17758
2002-07-01,1.5565,1.4718,117.8991,0.5538,0.9935,3.41,1.00306152173913,1.79,4.98,0.0899999999999999,4.06054
2002-08-01,1.5368,1.4972,118.9927,0.5413,0.9781,3.35190909090909,0.668342047619048,1.73,4.96,0.07,3.98654
2002-09-01,1.5563,1.4931,121.078,0.5465,0.9806,3.3101428571428597,0.612999095238095,1.76,4.92,0.08,3.98872
2002-10-01,1.5575,1.4932,123.9077,0.5502,0.9812,3.2612608695652203,0.627853739130435,1.73,4.9,0.08,3.96401
2002-11-01,1.5711,1.4658,121.6079,0.5613,1.0013,3.12414285714286,0.592497857142857,1.39,4.84,0.08,3.97142
2002-12-01,1.5863,1.4388,121.8929,0.5624,1.0194,2.94105,0.54338995,1.34,4.83,0.1,4.01777
2003-01-01,1.6175,1.3765,118.8133,0.5829,1.0622,2.83181818181818,0.508735476190476,1.29,4.8,0.1,3.98263
2003-02-01,1.6079,1.3602,119.3379,0.5956,1.0785,2.68745,0.48923735,1.27,4.75,0.0899999999999999,3.75425
2003-03-01,1.5825,1.3614,118.6871,0.6015,1.0797,2.52995238095238,0.233193714285714,1.23,4.76,0.08,3.65503
2003-04-01,1.5739,1.3783,119.895,0.61,1.0862,2.53335,0.1737808999999999,1.24,4.79,0.08,3.64598
2003-05-01,1.6224,1.3111,117.3681,0.6468,1.1556,2.40052380952381,0.1585084999999999,1.22,4.78,0.08,3.632519999999999
2003-06-01,1.6609,1.3196,118.329,0.6652,1.1674,2.15185714285714,0.1583946499999999,1.04,4.67,0.0899999999999999,3.63966
2003-07-01,1.6221,1.3611,118.6959,0.6607,1.1365,2.13004347826087,0.16359952173913,1.05,4.72,0.0899999999999999,3.49022
2003-08-01,1.5939,1.3811,118.6624,0.6518,1.1155,2.1404285714285702,0.1508666999999999,1.08,4.82,0.0899999999999999,3.5224900000000003
2003-09-01,1.6155,1.3743,114.8,0.6635,1.1267,2.14731818181818,0.138722590909091,1.08,4.91,0.0899999999999999,3.6967
2003-10-01,1.6792,1.3222,109.4955,0.6948,1.1714,2.1435652173913,0.1291310434782609,1.1,4.97,0.0899999999999999,3.80338
2003-11-01,1.6897,1.3318,109.1778,0.7158,1.171,2.15905,0.1428322499999999,1.11,5.31,0.08,3.98043
2003-12-01,1.7516,1.2643,107.7377,0.7391,1.2298,2.14633333333333,0.1368285714285709,1.1,5.47,0.1,4.01864
2004-01-01,1.8255,1.2391,106.2685,0.7717,1.2638,2.08947619047619,0.1284938999999999,1.06,5.55,0.0899999999999999,4.0553099999999995
2004-02-01,1.8673,1.2448,106.7079,0.777,1.264,2.07055,0.14803445,1.05,5.57,0.0899999999999999,4.16654
2004-03-01,1.8261,1.2778,108.5157,0.7496,1.2261,2.02882608695652,0.1582940434782608,1.05,5.51,0.08,4.29673
2004-04-01,1.8031,1.2969,107.6564,0.7443,1.1989,2.04875,0.18674945,1.08,5.54,0.08,4.3947199999999995
2004-05-01,1.786,1.2839,112.196,0.7039,1.2,2.08585714285714,0.1823533684210529,1.2,5.51,0.08,4.52872
